,Gene Description,Gene Accession Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,DEFENDER AGAINST CELL DEATH 1,D15057_at,-0.306637598,-0.071512283,0.335486314,0.557282983,1.78115045,-1.010103597,1.614462438,-0.69857809,0.348537026,0.493073986,0.360600926,0.162465265,1.202613616,0.015276323,2.012440381,0.633612859,0.13527258,1.327519806,1.088088035,1.314065259,1.502737204,-1.111595482,-1.187118125,1.584796254,-0.456575267,-0.253712684,0.04970088,-1.058924671,0.114065958,0.06157983,0.242417851,-0.531232716,-1.107173465,0.460755557,0.572535812,0.138339555,-0.234484487,-1.299149559,-0.036759422,-0.705758581,1.360502355,0.354178585,0.255783485,0.320341092,0.458782996,0.914011307,0.520893732,1.395686919,-0.297232003,-0.223129884,0.119439558,1.101876666,0.032038537,0.538101774,0.481852371,-0.304884684,0.917176526,0.683623158,0.785399916,0.241298163,-0.110088103,-0.235928877,0.405611746,-1.121408832,0.20747516,1.242095621,-0.391925958,0.287586935,0.73156158,-0.891721424,-0.326504403,0.429581583
125,CAST Calpastatin,D16217_at,0.55726244,-0.256177636,0.486249827,0.415378049,0.642505387,0.033936941,0.462961599,0.073586479,-0.128509666,0.012924079,0.35316611,0.840191752,0.231462816,0.54835995,-0.093358409,0.110904011,-0.551097241,0.84236236,0.575702162,-0.453125941,0.278412627,0.148859783,-0.320532761,0.482873159,0.237966831,0.610967527,0.468727416,0.00123945,0.254035598,0.982363774,0.76948921,-0.018852155,0.839444288,0.482092728,0.695983657,0.927823264,0.949613244,0.402492178,0.052460661,0.803396341,0.027664988,0.594860874,0.316144343,-0.11755159,0.446800457,0.344160199,0.002338505,0.364709246,0.442367332,0.032430392,0.812043611,0.573846103,0.619729871,0.433529414,-0.077465919,0.266821056,0.341010913,0.528197965,0.290175521,-0.158644269,-0.012946113,1.270483014,0.820232452,0.599106671,-0.266132078,0.518959292,0.035117498,0.323785619,0.471403104,0.643265856,0.517211166,0.295616158
126,3-KETOACYL-COA THIOLASE MITOCHONDRIAL,D16294_at,-0.244258717,0.075646209,-0.258094019,-0.511867422,0.391167544,-0.528718318,-0.412954446,-1.335413943,0.163957879,-0.497251899,-0.296130491,-0.294358757,0.452812093,-0.156503699,0.124133783,-0.341603608,-0.631829865,-0.175788561,-1.207606614,-0.033859285,0.509281444,-1.111595482,-1.187118125,-0.205502075,-1.027138083,-1.041570542,-0.821495398,-0.703873009,-0.397757175,0.089027727,-1.052503604,-1.404189209,-0.635524415,-0.691993122,0.055836469,-0.434390394,-0.108713971,-1.272643464,-0.640961969,-0.534900094,0.100096073,-0.087131391,-0.935350412,0.236068587,-0.984218943,0.51039418,-1.270905826,0.14649524,-0.725992342,-0.337983331,-0.641254891,-0.990861792,-0.485216659,-0.309298214,-0.221744974,-0.454153346,-1.058009908,-1.224099054,-0.514982214,-0.889814876,-0.436213738,-1.164976095,-0.9686346,-0.888968771,-0.901369095,0.18258799,-0.388099202,0.231551881,-0.088885128,-1.041303633,-1.21065485,-0.564016047
127,"ORF, Xq terminal portion",D16469_at,0.589961171,0.374200564,-0.246837705,0.15675452,0.395157254,-0.183287389,0.727123567,-0.332410771,0.283019018,-0.251473061,-0.087660743,0.986096425,1.42825837,-0.263131018,0.012927712,0.064941812,0.608379566,-0.300534238,0.674657706,0.757018268,0.359471741,-0.297707612,-0.184510849,0.642457734,0.136637514,0.239542212,-1.216362346,0.378503877,1.127638402,1.279747968,1.053675706,0.832383787,0.549731922,1.20024947,0.926613986,1.098266905,0.573432565,0.111194955,-1.225212914,-0.478512043,0.39467133,0.589040918,0.138124993,0.338281578,0.874468211,1.273084292,0.843235888,1.188813905,0.016906394,1.050374951,0.974445099,0.844704495,1.175559887,1.134632302,0.796239353,0.438490246,0.922685267,0.735194888,1.309654964,1.272247297,2.031278159,0.80179586,0.598123483,1.067806238,0.620719018,-1.018678067,0.613308354,1.266738233,0.871359527,-1.041303633,0.48482476,0.425370978
128,VLDLR Very low density lipoprotein receptor,D16532_at,-1.414095164,-1.335163026,-1.423498758,-0.620293761,-1.373415231,-1.192833271,0.616134841,-1.335413943,-1.424392336,-1.185748659,-1.243743654,-1.01377406,-1.318316435,-1.356060601,-1.339686102,-1.357386275,-1.510219388,-1.179975696,-1.207606614,-1.526416799,-0.864956785,-1.111595482,-1.187118125,0.096391461,-1.217174178,-1.24631406,-1.216362346,-1.385727619,-1.063445157,-1.272406126,-1.228487646,-1.404189209,-1.434727011,-1.314257825,-1.214385383,-1.365587283,-1.31181697,-1.299149559,-1.225212914,-1.254586207,-0.675428768,-1.24638365,-1.196632989,-1.072448275,-1.06247623,-1.120330201,-1.270905826,-1.231310213,-1.304079068,-1.280712643,-1.227021204,-0.990861792,-1.443618533,-1.3272715,-1.156389118,-1.292206597,-1.058009908,-1.224099054,-1.098814617,-1.110465113,-0.648355226,-1.31109581,-1.420360839,-1.481627658,-1.143157921,-1.018678067,-1.183311149,-1.362381334,-1.422468728,-1.041303633,-1.21065485,-1.29024248
129,"ATP SYNTHASE GAMMA CHAIN, MITOCHONDRIAL PRECURSOR",D16562_at,1.49531373,1.858526397,1.739523587,1.891341514,1.947116733,2.01713814,1.732849134,1.734784945,1.837660062,1.863591339,1.919587971,2.235171956,1.914726023,1.88639472,1.7208549,1.888149305,1.829755932,1.639308398,1.592660359,1.968806251,3.0187754,1.607635404,1.729902971,1.860449525,1.712393454,1.197787641,1.814876441,1.300471407,2.198777926,1.730144876,2.009689331,1.419204556,0.945617807,1.591784797,1.607635719,1.339546124,1.233198808,0.658107851,1.236155995,1.805746316,1.853617631,1.793433366,1.56295214,2.043766052,1.712122326,1.552917141,1.950026216,1.718798282,1.630492177,1.876369544,1.749535609,1.770222547,1.07872371,1.944634754,1.304564776,1.525535826,1.628403193,1.315477577,1.956849055,1.699685633,1.667754759,1.298481816,1.821561161,0.700530373,1.650677723,2.225787927,1.24720366,1.902532827,1.165322087,2.094495822,0.966991322,1.062266286
130,"MTH1 MutT (E. coli) human homolog (8-oxo-7,8-dihydroguanosine triphosphatase)",D16581_at,0.634996672,1.449765543,1.014640367,0.979888611,0.895732572,1.265784117,0.865663803,0.896607841,0.886742056,0.629312101,0.625217419,1.263573133,0.761874705,0.503015464,0.888948511,0.658927705,0.743931979,0.336778484,0.675961952,0.602376594,0.649213642,0.911384997,0.732788347,0.737108737,0.641006577,0.887268252,1.118353448,0.895645849,0.9731178,0.398046007,1.029856366,0.513501164,0.530569125,0.472114391,0.393723501,0.833572062,0.630669493,1.216862909,1.424284588,1.145618207,0.882797842,1.184435031,1.650047987,1.442846705,1.211288336,0.972122371,0.744694635,1.278711164,1.25375154,0.887408934,0.73352685,0.608777176,0.765780568,1.131616197,0.650969489,0.954138654,0.685011825,1.091349172,0.943510426,0.445026365,0.078994007,-0.091670441,0.393135063,-0.116004331,-0.459405659,0.345727457,-0.651934652,0.656933463,0.69712938,0.996480468,0.776722942,0.498349786
131,HDC Histidine decarboxylase,D16583_at,-1.414095164,-1.335163026,-1.423498758,-1.3627031,-1.373415231,-1.192833271,-1.33742052,-1.300137257,-1.424392336,-1.185748659,-1.243743654,-1.01377406,-1.318316435,-1.356060601,-1.339686102,-1.357386275,-1.510219388,-1.179975696,-1.207606614,-1.534413371,-1.045769178,-1.111595482,-1.187118125,-1.434645277,-1.217174178,-1.24631406,-1.216362346,-1.385727619,-1.063445157,-1.272406126,-1.228487646,-1.404189209,-1.434727011,-1.314257825,-1.214385383,-1.365587283,-1.31181697,-1.299149559,-1.225212914,-1.254586207,-1.145432169,-1.24638365,-1.196632989,-1.072448275,-1.06247623,-1.120330201,-1.270905826,-1.431552747,-1.304079068,-1.280712643,-1.227021204,-0.990861792,-1.443618533,-1.3272715,-1.156389118,-1.292206597,-1.058009908,-1.224099054,-1.098814617,-1.110465113,-1.216220492,-1.31109581,-1.420360839,-1.481627658,-1.143157921,1.606121545,-1.183311149,-1.362381334,-1.422468728,-1.041303633,-1.21065485,-1.29024248
132,HPCA Hippocalcin,D16593_at,-0.765784624,0.189438388,-0.526849974,0.515166164,-1.373415231,0.123715926,0.250039481,0.073586479,0.39980126,-0.740865735,0.305634884,-0.130950684,-1.318316435,-0.001139343,0.034886853,-0.649624391,0.249660602,-0.117461387,-0.361244543,-0.689921695,-1.045769178,0.025970547,0.575021183,-1.250835569,-0.49756359,-0.918132836,0.735087754,-0.568115361,-1.063445157,0.231607084,0.611828911,0.48669654,-0.343307157,-0.829118916,0.332302094,-0.522760714,0.388454804,-1.003854905,0.243420344,-0.40948049,0.234403585,-1.24638365,-0.050475463,-0.712582784,-1.06247623,0.114243423,-1.151719433,-1.431552747,0.898025819,0.564519424,0.450410201,0.112289595,0.059161191,-1.002665711,0.123623876,-0.809383347,-1.058009908,1.694873139,0.599005182,-0.638161749,0.074720567,0.130688138,0.370856065,0.045800066,0.580432683,0.259130295,-0.230652165,0.050385228,-1.422468728,0.870702791,-0.36044258,-0.848434247
133,CRARF C4/C2 activating component of Ra-reactive factor,D17525_at,-1.057597392,-0.28982152,0.632704972,0.492135814,0.292768367,0.627564968,0.889725278,0.630808448,0.421514365,0.363214845,0.136198193,-1.01377406,-0.137869043,-0.037034476,0.159307509,0.374317875,-0.514747716,0.338730723,-0.84205482,-1.534413371,0.101111896,0.552838534,0.287406109,0.547885229,0.071350346,0.355452769,-0.32204173,0.416490468,0.240497417,-1.272406126,0.665482016,-0.658968045,-0.56237725,0.736637907,0.706457995,0.443618169,-0.414261922,-0.802467349,1.008178703,0.03836418,-0.494877838,0.560568459,0.374640034,0.080113902,0.716190507,-1.120330201,-0.133560723,0.139456763,0.734610651,0.897708866,0.54899478,0.124346423,0.336818871,-0.373603192,0.661460175,0.394427233,0.695412512,0.294679936,0.027539085,-0.692048192,0.302456654,-1.31109581,-0.427140913,0.818866658,0.037321024,-1.018678067,0.300077779,-0.001630067,-0.154420692,-1.041303633,0.142546711,0.568349842
134,GB DEF = N-acetylglucosaminyltransferase V,D17716_at,0.147593053,0.091134399,0.645598054,0.350435427,-0.146232345,-0.300757087,0.156875117,0.222106661,-0.209437673,0.09682039,0.420723762,0.088656206,0.165374354,0.049209508,-0.268975037,0.332173821,0.082257809,0.361851712,-0.016229791,-0.258867971,-1.045769178,0.712211524,-0.110710372,0.471187041,0.102396307,0.196771634,0.686145964,-0.004499482,-0.379836831,-0.163491537,0.161587425,-0.181042129,0.310616688,0.381148976,-0.947578241,0.590426767,-0.138463355,-0.242221047,0.280723832,-1.254586207,-0.384332393,0.011314645,-1.196632989,-0.153942598,-1.06247623,-0.139128154,-0.029902383,0.163157902,0.969767341,0.109389212,0.110879667,-0.990861792,0.052854609,0.182816939,0.21043336,0.335474309,0.21816999,0.746033234,0.296334375,0.222577287,0.398563729,-1.31109581,0.116363638,0.82075114,-0.351835273,-0.452144506,0.100005317,-0.729542677,0.128593024,-0.481301539,0.218321311,-0.025257818
135,"KIAA0030 gene, partial cds",D21063_at,0.783592441,1.116290876,1.319252293,0.606272335,0.49441173,1.111813013,0.719272719,-0.353294235,1.242066655,1.510556861,0.118896798,-0.317464785,1.226446402,0.489808047,0.395389902,-0.31664101,1.17979359,1.468970658,-0.049236197,0.193913007,-1.036721477,0.134038977,0.154463584,0.795220711,-0.291882989,-0.033547935,0.788033998,0.643190391,0.86143869,-0.848925222,0.767635795,-1.404189209,-0.124419755,-1.314257825,0.239554061,-1.365587283,-0.26402562,-1.299149559,1.476285812,0.013576004,1.536590421,1.342028822,0.782444656,1.983970054,1.501755278,1.148894067,1.408852244,1.019146314,0.073360112,-1.280712643,-1.227021204,-0.924146427,-1.443618533,1.376853331,1.592901651,1.08726999,0.522641171,0.654331928,1.770805404,1.261164024,0.776161016,-0.863666304,-0.048719639,-1.329577698,-0.118495803,1.393242794,-0.602320269,0.181403509,-1.127591846,-0.211196148,-1.046354043,0.61526432
136,"XPC Xeroderma pigmentosum, complementation group C",D21089_at,0.6416585,-0.347065465,0.740228703,0.674183314,0.404399523,0.580763599,1.062454107,0.630808448,0.337279668,0.217573895,0.262069354,0.538804445,0.43011991,0.437545737,0.228568263,-0.055088065,0.441667986,0.626238993,0.433773967,0.230490375,0.293129724,0.366605091,0.045586084,0.435215201,-0.0857012,0.063858474,0.447310992,0.377251288,0.098303273,-0.010421925,0.702192563,0.040263878,0.581269679,0.632583295,0.620705897,0.454811808,0.276397507,0.094292846,0.338055152,0.471234648,0.392850667,-0.289017011,0.386965345,0.600870613,0.145035674,0.358653674,0.1717331,0.422668535,0.662719442,0.660651047,0.45928662,-0.012881947,0.482908947,0.542738031,0.432172834,0.777949893,0.636819564,0.519967334,0.588621821,-0.084123657,0.196711862,0.382502112,0.53031644,0.970335147,0.360117646,0.38515221,0.345633641,0.526781261,0.73156158,0.200020667,0.560184567,0.187344563
137,XP-C repair complementing protein (p58/HHR23B),D21090_at,-0.926242719,-0.630836219,-0.285720213,-1.3627031,-0.252881157,-0.814134066,-0.72741199,-1.335413943,-0.504708839,-0.740865735,-0.738965775,-0.838111766,-0.261427905,-0.383876615,-1.090773418,-0.274496956,-0.120915986,-1.179975696,-0.665839244,-0.031378885,0.101111896,-1.111595482,-1.070508146,-0.453662602,-1.217174178,-0.944164134,-0.395772016,-1.016383886,-1.063445157,-0.72516983,-0.642005351,-1.220874861,-0.580860782,-0.965873687,-0.933126676,-0.815435439,-0.626790554,-0.752357987,-1.225212914,-0.594840275,-0.543019237,-0.429695685,-1.196632989,-1.072448275,-0.451380652,-1.120330201,-0.284394625,-0.376346558,-0.870597765,-0.642684874,-0.681052732,-0.87727707,-1.065794072,-0.809081652,-1.156389118,-1.292206597,-1.058009908,-1.224099054,-1.098814617,-0.91282163,-0.395569731,-0.72606058,-0.594479182,-0.977618619,-0.807111279,-0.247296346,-0.37295064,0.094786926,-0.453845902,-1.041303633,-0.599458739,-0.572341603
138,CDH11 Cadherin 11 (OB-cadherin),D21255_at,-1.414095164,-1.335163026,-1.423498758,-1.3627031,0.294251181,-1.192833271,-1.33742052,-1.335413943,-1.424392336,-1.185748659,-1.243743654,-1.01377406,-1.318316435,-1.356060601,0.191609744,-1.357386275,-1.510219388,-1.179975696,-1.207606614,-0.245826729,-1.045769178,-1.111595482,-1.187118125,-1.434645277,-1.217174178,-1.24631406,-1.216362346,-1.385727619,-1.063445157,-1.272406126,-1.228487646,-1.404189209,-1.434727011,-1.314257825,-1.214385383,-1.365587283,-1.31181697,-1.299149559,-1.225212914,-1.254586207,-1.145432169,-1.24638365,-1.196632989,-1.072448275,-1.06247623,-0.986206694,-1.270905826,-1.431552747,-1.304079068,-1.280712643,-1.227021204,-0.990861792,-1.443618533,-1.3272715,-1.156389118,-1.292206597,-1.058009908,-1.224099054,-1.098814617,-1.110465113,-1.216220492,-1.31109581,-1.420360839,-1.481627658,-1.143157921,-1.018678067,-1.183311149,-1.362381334,-1.422468728,-1.041303633,-1.21065485,-1.29024248
139,60S RIBOSOMAL PROTEIN L23,D21260_at,0.98569324,0.252634285,0.416223984,1.068021387,1.106785972,-0.22720358,1.172983674,2.108415537,1.135237043,0.105682388,1.106954781,-0.074810038,1.491022374,0.785740004,1.137835659,1.476682244,0.566932353,1.236716556,1.463761538,2.526264264,1.020244121,0.085500274,-0.320532761,1.114839726,-0.549294793,1.189437536,1.397227253,0.582487677,0.971052434,0.646190785,0.305601495,-0.133398975,0.387771877,0.688577843,0.695983657,0.547636875,1.172033815,0.658107851,-0.417005131,1.273479214,1.16221612,0.930761966,1.168999064,0.976511074,0.858183995,1.103649338,1.053228014,1.716511578,0.997484342,0.624452541,1.070217594,0.491652012,1.077252652,1.215253671,0.690823354,2.813753634,0.534867327,0.052312611,1.256147894,0.923700715,0.460626784,1.045428052,1.035235752,0.692574229,-0.324897916,1.040909064,0.691446306,1.197519817,1.26752752,0.722771062,0.014813327,0.377729722
140,SM22-ALPHA HOMOLOG,D21261_at,2.549827004,2.71734616,2.768624126,2.635192713,2.910830286,2.653252109,2.601321379,2.825353887,2.837149717,3.332533741,2.827548118,3.115213973,2.170066505,2.635746438,1.966830828,2.338800523,2.19968009,2.404925988,2.134144661,1.91734411,1.571736011,2.539280316,2.368320557,2.509631096,2.157850485,2.408804401,2.588382855,2.921746281,2.778686505,2.890767495,3.263067522,2.900761077,2.593670534,3.097443413,2.820327109,2.723305788,2.711347715,2.398419164,2.389624938,2.740647963,2.529388578,2.403133993,1.580831324,1.623052273,2.462902827,2.141730963,2.39337365,1.598719744,2.847541154,3.13601508,3.240025564,3.408663903,2.997333061,2.436692438,2.736116678,2.492164396,2.868140035,2.809293131,2.41724883,2.15255505,3.349190215,2.415662696,2.709144933,2.78396869,2.8283368,2.732074777,2.863968331,2.681931434,2.404041713,2.839119389,2.529296583,2.492504101
141,"KIAA0035 gene, partial cds",D21262_at,-1.233273027,-0.619217348,-0.555100739,-1.3627031,0.001736682,-1.192833271,-1.139409115,-1.335413943,-0.009906594,-0.62067462,-0.180380811,-1.01377406,0.173507065,-0.241324684,-0.437891878,-0.636532682,-1.199626679,-1.179975696,-0.613692139,0.585313343,0.509281444,-1.111595482,-0.80025678,-0.425315452,-1.217174178,-1.24631406,-0.304488962,-1.385727619,-1.063445157,-1.272406126,-1.228487646,-1.404189209,-1.434727011,-1.314257825,-0.787037434,-1.365587283,-1.31181697,-1.299149559,-1.225212914,-1.254586207,-0.033445744,-1.045737424,-1.196632989,-1.045315492,-1.06247623,-0.408324939,-0.454423702,-0.651624368,-0.609850138,-1.280712643,-1.227021204,-0.990861792,-1.443618533,-1.3272715,-0.602322549,-1.292206597,-1.058009908,-1.224099054,-1.098814617,-1.082244317,-1.216220492,-1.31109581,-1.420360839,-1.481627658,-1.143157921,0.316196264,-0.889352011,0.020570197,0.411876299,-0.4449532,-1.21065485,-0.826096435
142,"KIAA0029 gene, partial cds",D21852_at,-0.403043701,0.370492113,0.085440309,-0.153341777,0.112975697,0.336195448,0.028495651,0.241009778,0.257352261,-0.055495307,0.437183514,-0.182401007,0.30417457,0.00915498,0.133868046,0.124456044,0.456108203,-0.101871792,-0.149517353,0.656771433,1.622913956,-0.193307722,-0.17786192,0.278348512,-0.590100886,-0.081255787,0.161435735,-0.410129171,-0.503033377,-0.259408277,0.201167424,0.001294889,-1.434727011,-0.104669784,-0.299831732,-0.677738206,-0.634485615,-0.953675423,0.063575028,0.124845838,0.43907656,0.035411045,0.110375207,0.384476264,0.203192043,0.054074287,0.234115428,0.23567739,0.390177148,-0.073807844,-0.153840096,-0.381366299,-0.699707238,0.264929453,-0.203400779,0.16486695,-1.058009908,-0.990062225,-0.581253335,-0.420473077,0.030831008,-0.003103379,-0.568488496,-0.009191959,-0.210889965,0.198399898,-0.055721163,0.471981128,0.068342442,0.387432501,0.096351149,-0.239445688
143,EUKARYOTIC INITIATION FACTOR 4A-LIKE NUK-34,D21853_at,0.142682139,0.316849177,0.227244579,0.494587373,0.741304023,0.618649448,0.563973973,0.574509923,0.508211332,0.635493816,0.744587383,0.546466315,0.600129076,0.461559356,0.525141432,0.042135676,0.961116929,0.483250203,0.27082097,0.41569788,0.938907457,0.570206477,1.443231445,0.358778317,0.522057437,0.417367768,0.744124456,0.63099664,0.591938089,0.6582345,0.574548133,0.137021346,0.565242645,0.083242159,0.260491947,0.406159981,0.542821595,0.398449838,0.032106276,0.431603104,1.153342769,1.097890455,0.531038291,0.739611349,1.250524018,1.268317775,0.847688855,0.922837133,0.8160672,0.176814062,0.025324438,0.810663432,0.394363985,0.491611939,0.831900338,-0.809383347,0.287983041,0.44536757,0.312560249,0.576016953,0.485386811,0.548629786,0.842888394,-0.049005365,0.918882292,0.850228482,-0.256730508,0.948030205,0.73156158,1.098542395,-0.074434311,-0.104524992
144,UBL1 Ubiquitin-like protein,D23662_at,1.184960947,1.617888405,1.407370638,1.383002142,1.528866188,1.499252051,0.980135235,1.295244626,1.508510022,1.502033587,1.364472468,1.457490978,1.703662952,1.086325528,1.273330943,1.281311361,1.396682663,1.211231821,1.002453634,1.461090584,1.481538155,0.829614493,1.276156381,1.162809853,1.230027921,1.238434977,0.617887776,1.072419753,1.292776314,1.095855314,1.480144412,0.989690353,0.591527545,1.377829791,1.329298932,1.138263352,0.958040404,0.851916103,1.45354009,1.175717543,1.424562165,1.175963555,0.95422117,1.604855454,1.408710723,1.438626985,1.595874888,1.763959485,1.241492352,0.936341212,1.023576785,1.876420288,0.686644069,1.230552811,1.50326452,1.11168177,0.77969959,1.054354469,1.222191047,1.434037468,0.725667543,1.22325163,1.186126854,0.436014703,1.318729705,1.345494094,0.468572647,1.17473863,1.369980778,1.136103013,1.151978849,1.25233571
